"one","two","three","track"
"myself","having","your","Dangerously In Love 2"
"having","your","child","Dangerously In Love 2"
"your","child","i","Dangerously In Love 2"
"child","i","see","Dangerously In Love 2"
"i","see","myself","Dangerously In Love 2"
"see","myself","being","Dangerously In Love 2"
"myself","being","your","Dangerously In Love 2"
"being","your","wife","Dangerously In Love 2"
"your","wife","and","Dangerously In Love 2"
"wife","and","i","Dangerously In Love 2"
"and","i","see","Dangerously In Love 2"
"i","see","my","Dangerously In Love 2"
"see","my","whole","Dangerously In Love 2"
"my","whole","future","Dangerously In Love 2"
"whole","future","in","Dangerously In Love 2"
"future","in","your","Dangerously In Love 2"
"in","your","eyes","Dangerously In Love 2"
"your","eyes","thought","Dangerously In Love 2"
"eyes","thought","of","Dangerously In Love 2"
"thought","of","all","Dangerously In Love 2"
"of","all","my","Dangerously In Love 2"
"all","my","love","Dangerously In Love 2"
"my","love","for","Dangerously In Love 2"
"love","for","you","Dangerously In Love 2"
"for","you","sometimes","Dangerously In Love 2"
"you","sometimes","make","Dangerously In Love 2"
"sometimes","make","me","Dangerously In Love 2"
"make","me","wanna","Dangerously In Love 2"
"me","wanna","cry","Dangerously In Love 2"
"wanna","cry","realize","Dangerously In Love 2"
"cry","realize","all","Dangerously In Love 2"
"realize","all","my","Dangerously In Love 2"
"all","my","blessings","Dangerously In Love 2"
"my","blessings","i'm","Dangerously In Love 2"
"blessings","i'm","grateful","Dangerously In Love 2"
"i'm","grateful","to","Dangerously In Love 2"
"grateful","to","have","Dangerously In Love 2"
"to","have","you","Dangerously In Love 2"
"have","you","by","Dangerously In Love 2"
"you","by","my","Dangerously In Love 2"
"by","my","side","Dangerously In Love 2"
"my","side","i","Dangerously In Love 2"
"side","i","am","Dangerously In Love 2"
"i","am","in","Dangerously In Love 2"
"am","in","love","Dangerously In Love 2"
"in","love","with","Dangerously In Love 2"
"love","with","you","Dangerously In Love 2"
"with","you","you","Dangerously In Love 2"
"you","you","set","Dangerously In Love 2"
"you","set","me","Dangerously In Love 2"
"set","me","free","Dangerously In Love 2"
"me","free","i","Dangerously In Love 2"
"free","i","can't","Dangerously In Love 2"
"i","can't","do","Dangerously In Love 2"
"can't","do","this","Dangerously In Love 2"
"do","this","thing","Dangerously In Love 2"
"this","thing","called","Dangerously In Love 2"
"thing","called","life","Dangerously In Love 2"
"called","life","without","Dangerously In Love 2"
"life","without","you","Dangerously In Love 2"
"without","you","here","Dangerously In Love 2"
"you","here","with","Dangerously In Love 2"
"here","with","me","Dangerously In Love 2"
"with","me","'cause","Dangerously In Love 2"
"me","'cause","i'm","Dangerously In Love 2"
"'cause","i'm","dangerously","Dangerously In Love 2"
"i'm","dangerously","in","Dangerously In Love 2"
"dangerously","in","love","Dangerously In Love 2"
"in","love","with","Dangerously In Love 2"
"love","with","you","Dangerously In Love 2"
"with","you","i'll","Dangerously In Love 2"
"you","i'll","never","Dangerously In Love 2"
"i'll","never","leave","Dangerously In Love 2"
"never","leave","just","Dangerously In Love 2"
"leave","just","keep","Dangerously In Love 2"
"just","keep","lovin'","Dangerously In Love 2"
"keep","lovin'","me","Dangerously In Love 2"
"lovin'","me","the","Dangerously In Love 2"
"me","the","way","Dangerously In Love 2"
"the","way","i","Dangerously In Love 2"
"way","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","loving","Dangerously In Love 2"
"you","loving","me","Dangerously In Love 2"
"loving","me","'cause","Dangerously In Love 2"
"me","'cause","i","Dangerously In Love 2"
"'cause","i","am","Dangerously In Love 2"
"i","am","in","Dangerously In Love 2"
"am","in","love","Dangerously In Love 2"
"in","love","with","Dangerously In Love 2"
"love","with","you","Dangerously In Love 2"
"with","you","you","Dangerously In Love 2"
"you","you","set","Dangerously In Love 2"
"you","set","me","Dangerously In Love 2"
"set","me","free","Dangerously In Love 2"
"me","free","i","Dangerously In Love 2"
"free","i","can't","Dangerously In Love 2"
"i","can't","do","Dangerously In Love 2"
"can't","do","this","Dangerously In Love 2"
"do","this","thing","Dangerously In Love 2"
"this","thing","called","Dangerously In Love 2"
"thing","called","life","Dangerously In Love 2"
"called","life","without","Dangerously In Love 2"
"life","without","you","Dangerously In Love 2"
"without","you","here","Dangerously In Love 2"
"you","here","with","Dangerously In Love 2"
"here","with","me","Dangerously In Love 2"
"with","me","'cause","Dangerously In Love 2"
"me","'cause","i'm","Dangerously In Love 2"
"'cause","i'm","dangerously","Dangerously In Love 2"
"i'm","dangerously","in","Dangerously In Love 2"
"dangerously","in","love","Dangerously In Love 2"
"in","love","with","Dangerously In Love 2"
"love","with","you","Dangerously In Love 2"
"with","you","i'll","Dangerously In Love 2"
"you","i'll","never","Dangerously In Love 2"
"i'll","never","leave","Dangerously In Love 2"
"never","leave","just","Dangerously In Love 2"
"leave","just","keep","Dangerously In Love 2"
"just","keep","lovin'","Dangerously In Love 2"
"keep","lovin'","me","Dangerously In Love 2"
"lovin'","me","the","Dangerously In Love 2"
"me","the","way","Dangerously In Love 2"
"the","way","i","Dangerously In Love 2"
"way","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","loving","Dangerously In Love 2"
"you","loving","me","Dangerously In Love 2"
"loving","me","every","Dangerously In Love 2"
"me","every","time","Dangerously In Love 2"
"every","time","i","Dangerously In Love 2"
"time","i","see","Dangerously In Love 2"
"i","see","your","Dangerously In Love 2"
"see","your","face","Dangerously In Love 2"
"your","face","my","Dangerously In Love 2"
"face","my","heart","Dangerously In Love 2"
"my","heart","smiles","Dangerously In Love 2"
"heart","smiles","every","Dangerously In Love 2"
"smiles","every","time","Dangerously In Love 2"
"every","time","it","Dangerously In Love 2"
"time","it","feels","Dangerously In Love 2"
"it","feels","so","Dangerously In Love 2"
"feels","so","good","Dangerously In Love 2"
"so","good","it","Dangerously In Love 2"
"good","it","hurts","Dangerously In Love 2"
"it","hurts","sometimes","Dangerously In Love 2"
"hurts","sometimes","created","Dangerously In Love 2"
"sometimes","created","in","Dangerously In Love 2"
"created","in","this","Dangerously In Love 2"
"in","this","world","Dangerously In Love 2"
"this","world","to","Dangerously In Love 2"
"world","to","love","Dangerously In Love 2"
"to","love","to","Dangerously In Love 2"
"love","to","hold","Dangerously In Love 2"
"to","hold","to","Dangerously In Love 2"
"hold","to","feel","Dangerously In Love 2"
"to","feel","to","Dangerously In Love 2"
"feel","to","breathe","Dangerously In Love 2"
"to","breathe","to","Dangerously In Love 2"
"breathe","to","live","Dangerously In Love 2"
"to","live","you","Dangerously In Love 2"
"live","you","dangerously","Dangerously In Love 2"
"you","dangerously","in","Dangerously In Love 2"
"dangerously","in","love","Dangerously In Love 2"
"in","love","i","Dangerously In Love 2"
"love","i","can't","Dangerously In Love 2"
"i","can't","do","Dangerously In Love 2"
"can't","do","this","Dangerously In Love 2"
"do","this","thing","Dangerously In Love 2"
"this","thing","i","Dangerously In Love 2"
"thing","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","i","Dangerously In Love 2"
"you","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","i","Dangerously In Love 2"
"you","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","i'll","Dangerously In Love 2"
"you","i'll","never","Dangerously In Love 2"
"i'll","never","leave","Dangerously In Love 2"
"never","leave","just","Dangerously In Love 2"
"leave","just","keep","Dangerously In Love 2"
"just","keep","loving","Dangerously In Love 2"
"keep","loving","me","Dangerously In Love 2"
"loving","me","i'm","Dangerously In Love 2"
"me","i'm","in","Dangerously In Love 2"
"i'm","in","love","Dangerously In Love 2"
"in","love","with","Dangerously In Love 2"
"love","with","you","Dangerously In Love 2"
"with","you","i","Dangerously In Love 2"
"you","i","cannot","Dangerously In Love 2"
"i","cannot","do","Dangerously In Love 2"
"cannot","do","i","Dangerously In Love 2"
"do","i","cannot","Dangerously In Love 2"
"i","cannot","do","Dangerously In Love 2"
"cannot","do","anything","Dangerously In Love 2"
"do","anything","without","Dangerously In Love 2"
"anything","without","you","Dangerously In Love 2"
"without","you","in","Dangerously In Love 2"
"you","in","my","Dangerously In Love 2"
"in","my","life","Dangerously In Love 2"
"my","life","holding","Dangerously In Love 2"
"life","holding","me","Dangerously In Love 2"
"holding","me","kissing","Dangerously In Love 2"
"me","kissing","me","Dangerously In Love 2"
"kissing","me","loving","Dangerously In Love 2"
"me","loving","me","Dangerously In Love 2"
"loving","me","dangerously","Dangerously In Love 2"
"me","dangerously","i","Dangerously In Love 2"
"dangerously","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","dangerously","Dangerously In Love 2"
"you","dangerously","in","Dangerously In Love 2"
"dangerously","in","love","Dangerously In Love 2"
"in","love","with","Dangerously In Love 2"
"love","with","you","Dangerously In Love 2"
"with","you","i","Dangerously In Love 2"
"you","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","ohh","Dangerously In Love 2"
"you","ohh","i","Dangerously In Love 2"
"ohh","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","i","Dangerously In Love 2"
"you","i","love","Dangerously In Love 2"
"i","love","love","Dangerously In Love 2"
"love","love","love","Dangerously In Love 2"
"love","love","love","Dangerously In Love 2"
"love","love","love","Dangerously In Love 2"
"love","love","you","Dangerously In Love 2"
"love","you","i","Dangerously In Love 2"
"you","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","oh","Dangerously In Love 2"
"you","oh","i","Dangerously In Love 2"
"oh","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","i","Dangerously In Love 2"
"you","i","love","Dangerously In Love 2"
"i","love","love","Dangerously In Love 2"
"love","love","love","Dangerously In Love 2"
"love","love","love","Dangerously In Love 2"
"love","love","love","Dangerously In Love 2"
"love","love","you","Dangerously In Love 2"
"love","you","i","Dangerously In Love 2"
"you","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","i","Dangerously In Love 2"
"you","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","i","Dangerously In Love 2"
"you","i","love","Dangerously In Love 2"
"i","love","you","Dangerously In Love 2"
"love","you","dangerously","Dangerously In Love 2"
"you","dangerously","in","Dangerously In Love 2"
"dangerously","in","love","Dangerously In Love 2"
"in","love",NA,"Dangerously In Love 2"
"love",NA,NA,"Dangerously In Love 2"
"bass","uh","hi","Déjà Vu"
"uh","hi","hat","Déjà Vu"
"hi","hat","uh","Déjà Vu"
"hat","uh","808","Déjà Vu"
"uh","808","uh","Déjà Vu"
"808","uh","jay","Déjà Vu"
"uh","jay","uh-huh","Déjà Vu"
"jay","uh-huh","ready?","Déjà Vu"
"uh-huh","ready?","uh-huh","Déjà Vu"
"ready?","uh-huh","let's","Déjà Vu"
"uh-huh","let's","go","Déjà Vu"
"let's","go","get","Déjà Vu"
"go","get","'em","Déjà Vu"
"get","'em","uh-huh","Déjà Vu"
"'em","uh-huh","c'mon","Déjà Vu"
"uh-huh","c'mon","i","Déjà Vu"
"c'mon","i","used","Déjà Vu"
"i","used","to","Déjà Vu"
"used","to","run","Déjà Vu"
"to","run","base","Déjà Vu"
"run","base","like","Déjà Vu"
"base","like","juan","Déjà Vu"
"like","juan","pierre","Déjà Vu"
"juan","pierre","now","Déjà Vu"
"pierre","now","i","Déjà Vu"
"now","i","run","Déjà Vu"
"i","run","the","Déjà Vu"
"run","the","bass","Déjà Vu"
"the","bass","hi","Déjà Vu"
"bass","hi","hat","Déjà Vu"
"hi","hat","and","Déjà Vu"
"hat","and","the","Déjà Vu"
"and","the","snare","Déjà Vu"
"the","snare","i","Déjà Vu"
"snare","i","used","Déjà Vu"
"i","used","to","Déjà Vu"
"used","to","bag","Déjà Vu"
"to","bag","girls","Déjà Vu"
"bag","girls","like","Déjà Vu"
"girls","like","birkin","Déjà Vu"
"like","birkin","bags","Déjà Vu"
"birkin","bags","now","Déjà Vu"
"bags","now","i","Déjà Vu"
"now","i","bag","Déjà Vu"
"i","bag","b","Déjà Vu"
"bag","b","boy","Déjà Vu"
"b","boy","you","Déjà Vu"
"boy","you","hurtin'","Déjà Vu"
"you","hurtin'","that","Déjà Vu"
"hurtin'","that","brooklyn","Déjà Vu"
"that","brooklyn","bay","Déjà Vu"
"brooklyn","bay","where","Déjà Vu"
"bay","where","they","Déjà Vu"
"where","they","birthed","Déjà Vu"
"they","birthed","me","Déjà Vu"
"birthed","me","at","Déjà Vu"
"me","at","now","Déjà Vu"
"at","now","i","Déjà Vu"
"now","i","be","Déjà Vu"
"i","be","everywhere","Déjà Vu"
"be","everywhere","the","Déjà Vu"
"everywhere","the","nerve","Déjà Vu"
"the","nerve","of","Déjà Vu"
"nerve","of","rap","Déjà Vu"
"of","rap","the","Déjà Vu"
"rap","the","audacity","Déjà Vu"
"the","audacity","to","Déjà Vu"
"audacity","to","have","Déjà Vu"
"to","have","me","Déjà Vu"
"have","me","whipping","Déjà Vu"
"me","whipping","curtains","Déjà Vu"
"whipping","curtains","back","Déjà Vu"
"curtains","back","me","Déjà Vu"
"back","me","and","Déjà Vu"
"me","and","b","Déjà Vu"
"and","b","she","Déjà Vu"
"b","she","about","Déjà Vu"
"she","about","to","Déjà Vu"
"about","to","sting","Déjà Vu"
"to","sting","stand","Déjà Vu"
"sting","stand","back","Déjà Vu"
"stand","back","baby","Déjà Vu"
"back","baby","seems","Déjà Vu"
"baby","seems","like","Déjà Vu"
"seems","like","everywhere","Déjà Vu"
"like","everywhere","i","Déjà Vu"
"everywhere","i","go","Déjà Vu"
"i","go","i","Déjà Vu"
"go","i","see","Déjà Vu"
"i","see","you","Déjà Vu"
"see","you","from","Déjà Vu"
"you","from","your","Déjà Vu"
"from","your","eyes","Déjà Vu"
"your","eyes","your","Déjà Vu"
"eyes","your","smile","Déjà Vu"
"your","smile","it's","Déjà Vu"
"smile","it's","like","Déjà Vu"
"it's","like","i","Déjà Vu"
"like","i","breathe","Déjà Vu"
"i","breathe","you","Déjà Vu"
"breathe","you","helplessly","Déjà Vu"
"you","helplessly","i","Déjà Vu"
"helplessly","i","reminisce","Déjà Vu"
"i","reminisce","don't","Déjà Vu"
"reminisce","don't","want","Déjà Vu"
"don't","want","to","Déjà Vu"
"want","to","compare","Déjà Vu"
"to","compare","nobody","Déjà Vu"
"compare","nobody","to","Déjà Vu"
"nobody","to","you","Déjà Vu"
"to","you","boy","Déjà Vu"
"you","boy","i","Déjà Vu"
"boy","i","try","Déjà Vu"
"i","try","to","Déjà Vu"
"try","to","catch","Déjà Vu"
"to","catch","myself","Déjà Vu"
"catch","myself","but","Déjà Vu"
"myself","but","i'm","Déjà Vu"
"but","i'm","out","Déjà Vu"
"i'm","out","of","Déjà Vu"
"out","of","control","Déjà Vu"
"of","control","your","Déjà Vu"
"control","your","sexiness","Déjà Vu"
"your","sexiness","is","Déjà Vu"
"sexiness","is","so","Déjà Vu"
"is","so","appealing","Déjà Vu"
"so","appealing","i","Déjà Vu"
"appealing","i","can't","Déjà Vu"
"i","can't","let","Déjà Vu"
"can't","let","it","Déjà Vu"
"let","it","go","Déjà Vu"
"it","go","oh","Déjà Vu"
"go","oh","know","Déjà Vu"
"oh","know","that","Déjà Vu"
"know","that","i","Déjà Vu"
"that","i","can't","Déjà Vu"
"i","can't","get","Déjà Vu"
"can't","get","over","Déjà Vu"
"get","over","you","Déjà Vu"
"over","you","'cause","Déjà Vu"
"you","'cause","everything","Déjà Vu"
"'cause","everything","i","Déjà Vu"
"everything","i","see","Déjà Vu"
"i","see","is","Déjà Vu"
"see","is","you","Déjà Vu"
"is","you","and","Déjà Vu"
"you","and","i","Déjà Vu"
"and","i","don't","Déjà Vu"
"i","don't","want","Déjà Vu"
"don't","want","no","Déjà Vu"
"want","no","substitute","Déjà Vu"
"no","substitute","baby","Déjà Vu"
"substitute","baby","i","Déjà Vu"
"baby","i","swear","Déjà Vu"
"i","swear","it's","Déjà Vu"
"swear","it's","deja","Déjà Vu"
"it's","deja","vu","Déjà Vu"
"deja","vu","know","Déjà Vu"
"vu","know","that","Déjà Vu"
"know","that","i","Déjà Vu"
"that","i","can't","Déjà Vu"
"i","can't","get","Déjà Vu"
"can't","get","over","Déjà Vu"
"get","over","you","Déjà Vu"
"over","you","'cause","Déjà Vu"
"you","'cause","everything","Déjà Vu"
"'cause","everything","i","Déjà Vu"
"everything","i","see","Déjà Vu"
"i","see","is","Déjà Vu"
"see","is","you","Déjà Vu"
"is","you","and","Déjà Vu"
"you","and","i","Déjà Vu"
"and","i","don't","Déjà Vu"
"i","don't","want","Déjà Vu"
"don't","want","no","Déjà Vu"
"want","no","substitute","Déjà Vu"
"no","substitute","baby","Déjà Vu"
"substitute","baby","i","Déjà Vu"
"baby","i","swear","Déjà Vu"
"i","swear","it's","Déjà Vu"
"swear","it's","deja","Déjà Vu"
"it's","deja","vu","Déjà Vu"
"deja","vu","seeing","Déjà Vu"
"vu","seeing","things","Déjà Vu"
"seeing","things","that","Déjà Vu"
"things","that","i","Déjà Vu"
"that","i","know","Déjà Vu"
"i","know","can't","Déjà Vu"
"know","can't","be","Déjà Vu"
"can't","be","am","Déjà Vu"
"be","am","i","Déjà Vu"
"am","i","dreaming?","Déjà Vu"
"i","dreaming?","when","Déjà Vu"
"dreaming?","when","i","Déjà Vu"
"when","i","saw","Déjà Vu"
"i","saw","you","Déjà Vu"
"saw","you","walking","Déjà Vu"
"you","walking","past","Déjà Vu"
"walking","past","me","Déjà Vu"
"past","me","almost","Déjà Vu"
"me","almost","called","Déjà Vu"
"almost","called","your","Déjà Vu"
"called","your","name","Déjà Vu"
"your","name","got","Déjà Vu"
"name","got","a","Déjà Vu"
"got","a","better","Déjà Vu"
"a","better","glimpse","Déjà Vu"
"better","glimpse","and","Déjà Vu"
"glimpse","and","then","Déjà Vu"
"and","then","i","Déjà Vu"
"then","i","looked","Déjà Vu"
"i","looked","away","Déjà Vu"
"looked","away","it's","Déjà Vu"
"away","it's","like","Déjà Vu"
"it's","like","i'm","Déjà Vu"
"like","i'm","losing","Déjà Vu"
"i'm","losing","it","Déjà Vu"
"losing","it","boy","Déjà Vu"
"it","boy","i","Déjà Vu"
"boy","i","try","Déjà Vu"
"i","try","to","Déjà Vu"
"try","to","catch","Déjà Vu"
"to","catch","myself","Déjà Vu"
"catch","myself","but","Déjà Vu"
"myself","but","i'm","Déjà Vu"
"but","i'm","out","Déjà Vu"
"i'm","out","of","Déjà Vu"
"out","of","control","Déjà Vu"
"of","control","your","Déjà Vu"
"control","your","sexiness","Déjà Vu"
"your","sexiness","is","Déjà Vu"
"sexiness","is","so","Déjà Vu"
"is","so","appealing","Déjà Vu"
"so","appealing","i","Déjà Vu"
"appealing","i","can't","Déjà Vu"
"i","can't","let","Déjà Vu"
"can't","let","it","Déjà Vu"
"let","it","go","Déjà Vu"
"it","go","oh","Déjà Vu"
"go","oh","know","Déjà Vu"
"oh","know","that","Déjà Vu"
"know","that","i","Déjà Vu"
"that","i","can't","Déjà Vu"
"i","can't","get","Déjà Vu"
"can't","get","over","Déjà Vu"
"get","over","you","Déjà Vu"
"over","you","'cause","Déjà Vu"
"you","'cause","everything","Déjà Vu"
"'cause","everything","i","Déjà Vu"
"everything","i","see","Déjà Vu"
"i","see","is","Déjà Vu"
"see","is","you","Déjà Vu"
"is","you","and","Déjà Vu"
"you","and","i","Déjà Vu"
"and","i","don't","Déjà Vu"
"i","don't","want","Déjà Vu"
"don't","want","no","Déjà Vu"
"want","no","substitute","Déjà Vu"
"no","substitute","baby","Déjà Vu"
"substitute","baby","i","Déjà Vu"
"baby","i","swear","Déjà Vu"
"i","swear","it's","Déjà Vu"
"swear","it's","deja","Déjà Vu"
"it's","deja","vu","Déjà Vu"
"deja","vu","know","Déjà Vu"
"vu","know","that","Déjà Vu"
"know","that","i","Déjà Vu"
"that","i","can't","Déjà Vu"
"i","can't","get","Déjà Vu"
"can't","get","over","Déjà Vu"
"get","over","you","Déjà Vu"
"over","you","'cause","Déjà Vu"
"you","'cause","everything","Déjà Vu"
"'cause","everything","i","Déjà Vu"
"everything","i","see","Déjà Vu"
"i","see","is","Déjà Vu"
"see","is","you","Déjà Vu"
"is","you","and","Déjà Vu"
"you","and","i","Déjà Vu"
"and","i","don't","Déjà Vu"
"i","don't","want","Déjà Vu"
"don't","want","no","Déjà Vu"
"want","no","substitute","Déjà Vu"
"no","substitute","baby","Déjà Vu"
"substitute","baby","i","Déjà Vu"
"baby","i","swear","Déjà Vu"
"i","swear","it's","Déjà Vu"
"swear","it's","deja","Déjà Vu"
"it's","deja","vu","Déjà Vu"
"deja","vu","yes","Déjà Vu"
"vu","yes","hova's","Déjà Vu"
"yes","hova's","flow","Déjà Vu"
"hova's","flow","so","Déjà Vu"
"flow","so","unusual","Déjà Vu"
"so","unusual","baby","Déjà Vu"
"unusual","baby","girl","Déjà Vu"
"baby","girl","you","Déjà Vu"
"girl","you","should","Déjà Vu"
"you","should","already","Déjà Vu"
"should","already","know","Déjà Vu"
"already","know","it's","Déjà Vu"
"know","it's","h-o","Déjà Vu"
"it's","h-o","light","Déjà Vu"
"h-o","light","up","Déjà Vu"
"light","up","the","Déjà Vu"
"up","the","dro'","Déjà Vu"
"the","dro'","'cause","Déjà Vu"
"dro'","'cause","you","Déjà Vu"
"'cause","you","gon'","Déjà Vu"
"you","gon'","need","Déjà Vu"
"gon'","need","help","Déjà Vu"
"need","help","tryna","Déjà Vu"
"help","tryna","study","Déjà Vu"
"tryna","study","my","Déjà Vu"
"study","my","bounce","Déjà Vu"
"my","bounce","flow","Déjà Vu"
"bounce","flow","blow","Déjà Vu"
"flow","blow","what's","Déjà Vu"
"blow","what's","the","Déjà Vu"
"what's","the","difference?","Déjà Vu"
"the","difference?","one","Déjà Vu"
"difference?","one","you","Déjà Vu"
"one","you","take","Déjà Vu"
"you","take","in","Déjà Vu"
"take","in","vein","Déjà Vu"
"in","vein","while","Déjà Vu"
"vein","while","the","Déjà Vu"
"while","the","other","Déjà Vu"
"the","other","you","Déjà Vu"
"other","you","sniffin'","Déjà Vu"
"you","sniffin'","it's","Déjà Vu"
"sniffin'","it's","still","Déjà Vu"
"it's","still","dough","Déjà Vu"
"still","dough","po-po","Déjà Vu"
"dough","po-po","try","Déjà Vu"
"po-po","try","to","Déjà Vu"
"try","to","convict","Déjà Vu"
"to","convict","him","Déjà Vu"
"convict","him","that's","Déjà Vu"
"him","that's","a","Déjà Vu"
"that's","a","no-go","Déjà Vu"
"a","no-go","my","Déjà Vu"
"no-go","my","dough","Déjà Vu"
"my","dough","keep","Déjà Vu"
"dough","keep","the","Déjà Vu"
"keep","the","scales","Déjà Vu"
"the","scales","tipping","Déjà Vu"
"scales","tipping","like","Déjà Vu"
"tipping","like","4-4's","Déjà Vu"
"like","4-4's","like","Déjà Vu"
"4-4's","like","i'm","Déjà Vu"
"like","i'm","from","Déjà Vu"
"i'm","from","the","Déjà Vu"
"from","the","h-o-u-s-t-o-n","Déjà Vu"
"the","h-o-u-s-t-o-n","blow","Déjà Vu"
"h-o-u-s-t-o-n","blow","wind","Déjà Vu"
"blow","wind","so","Déjà Vu"
"wind","so","chicago","Déjà Vu"
"so","chicago","of","Déjà Vu"
"chicago","of","him","Déjà Vu"
"of","him","is","Déjà Vu"
"him","is","he","Déjà Vu"
"is","he","the","Déjà Vu"
"he","the","best","Déjà Vu"
"the","best","ever","Déjà Vu"
"best","ever","that's","Déjà Vu"
"ever","that's","the","Déjà Vu"
"that's","the","argu-a-ment","Déjà Vu"
"the","argu-a-ment","i","Déjà Vu"
"argu-a-ment","i","don't","Déjà Vu"
"i","don't","make","Déjà Vu"
"don't","make","the","Déjà Vu"
"make","the","list","Déjà Vu"
"the","list","don't","Déjà Vu"
"list","don't","be","Déjà Vu"
"don't","be","mad","Déjà Vu"
"be","mad","at","Déjà Vu"
"mad","at","me","Déjà Vu"
"at","me","i","Déjà Vu"
"me","i","just","Déjà Vu"
"i","just","make","Déjà Vu"
"just","make","the","Déjà Vu"
"make","the","hits","Déjà Vu"
"the","hits","like","Déjà Vu"
"hits","like","a","Déjà Vu"
"like","a","factory","Déjà Vu"
"a","factory","i'm","Déjà Vu"
"factory","i'm","just","Déjà Vu"
"i'm","just","one-to-one","Déjà Vu"
"just","one-to-one","nothin'","Déjà Vu"
"one-to-one","nothin'","after","Déjà Vu"
"nothin'","after","me","Déjà Vu"
"after","me","no","Déjà Vu"
"me","no","deja","Déjà Vu"
"no","deja","vu","Déjà Vu"
"deja","vu","just","Déjà Vu"
"vu","just","me","Déjà Vu"
"just","me","and","Déjà Vu"
"me","and","my","Déjà Vu"
"and","my","oh","Déjà Vu"
"my","oh","baby","Déjà Vu"
"oh","baby","i","Déjà Vu"
"baby","i","can't","Déjà Vu"
"i","can't","go","Déjà Vu"
"can't","go","anywhere","Déjà Vu"
"go","anywhere","without","Déjà Vu"
"anywhere","without","thinking","Déjà Vu"
"without","thinking","that","Déjà Vu"
"thinking","that","you're","Déjà Vu"
"that","you're","there","Déjà Vu"
"you're","there","seems","Déjà Vu"
"there","seems","like","Déjà Vu"
"seems","like","you're","Déjà Vu"
"like","you're","everywhere","Déjà Vu"
"you're","everywhere","it's","Déjà Vu"
"everywhere","it's","true","Déjà Vu"
"it's","true","gotta","Déjà Vu"
"true","gotta","be","Déjà Vu"
"gotta","be","having","Déjà Vu"
"be","having","deja","Déjà Vu"
"having","deja","vu","Déjà Vu"
"deja","vu","'cause","Déjà Vu"
"vu","'cause","in","Déjà Vu"
"'cause","in","my","Déjà Vu"
"in","my","mind","Déjà Vu"
"my","mind","i","Déjà Vu"
"mind","i","want","Déjà Vu"
"i","want","you","Déjà Vu"
"want","you","here","Déjà Vu"
"you","here","get","Déjà Vu"
"here","get","on","Déjà Vu"
"get","on","the","Déjà Vu"
"on","the","next","Déjà Vu"
"the","next","plane","Déjà Vu"
"next","plane","i","Déjà Vu"
"plane","i","don't","Déjà Vu"
"i","don't","care","Déjà Vu"
"don't","care","is","Déjà Vu"
"care","is","it","Déjà Vu"
"is","it","because","Déjà Vu"
"it","because","i'm","Déjà Vu"
"because","i'm","missing","Déjà Vu"
"i'm","missing","you","Déjà Vu"
"missing","you","that","Déjà Vu"
"you","that","i'm","Déjà Vu"
"that","i'm","having","Déjà Vu"
"i'm","having","deja","Déjà Vu"
"having","deja","vu","Déjà Vu"
"deja","vu","boy","Déjà Vu"
"vu","boy","i","Déjà Vu"
"boy","i","try","Déjà Vu"
"i","try","to","Déjà Vu"
"try","to","catch","Déjà Vu"
"to","catch","myself","Déjà Vu"
"catch","myself","but","Déjà Vu"
"myself","but","i'm","Déjà Vu"
"but","i'm","out","Déjà Vu"
"i'm","out","of","Déjà Vu"
"out","of","control","Déjà Vu"
"of","control","your","Déjà Vu"
"control","your","sexiness","Déjà Vu"
"your","sexiness","is","Déjà Vu"
"sexiness","is","so","Déjà Vu"
"is","so","appealing","Déjà Vu"
"so","appealing","i","Déjà Vu"
"appealing","i","can't","Déjà Vu"
"i","can't","let","Déjà Vu"
"can't","let","it","Déjà Vu"
"let","it","go","Déjà Vu"
"it","go","whoo","Déjà Vu"
"go","whoo","know","Déjà Vu"
"whoo","know","that","Déjà Vu"
"know","that","i","Déjà Vu"
"that","i","can't","Déjà Vu"
"i","can't","get","Déjà Vu"
"can't","get","over","Déjà Vu"
"get","over","you","Déjà Vu"
"over","you","'cause","Déjà Vu"
"you","'cause","everything","Déjà Vu"
"'cause","everything","i","Déjà Vu"
"everything","i","see","Déjà Vu"
"i","see","is","Déjà Vu"
"see","is","you","Déjà Vu"
"is","you","and","Déjà Vu"
"you","and","i","Déjà Vu"
"and","i","don't","Déjà Vu"
"i","don't","want","Déjà Vu"
"don't","want","no","Déjà Vu"
